id,sales
0,11.905192
1,11.905192
2,11.905192
3,11.905192
4,11.905192
5,14.773121
6,14.773121
7,14.773121
8,14.773121
9,14.773121
10,14.773536
11,14.773536
12,14.773536
13,14.773536
14,14.773536
15,15.448776
16,15.448776
17,15.448776
18,15.448776
19,16.325722
20,16.325722
21,16.325722
22,16.325722
23,17.676361
24,17.676361
25,17.676361
26,17.676361
27,18.54356
28,18.54356
29,18.54356
30,18.54356
31,13.23298
32,13.23298
33,13.23298
34,13.23298
35,15.402055
36,15.402055
37,15.402055
38,15.402055
39,15.40247
40,15.40247
41,15.40247
42,15.40247
43,16.052254
44,16.052254
45,16.052254
46,16.052254
47,17.817411
48,17.817411
49,17.817411
50,17.817411
51,19.362717
52,19.362717
53,19.362717
54,19.362717
55,20.088339
56,20.088339
57,20.088339
58,20.088339
59,15.389942
60,15.389942
61,15.389942
62,15.389942
63,18.524145
64,18.524145
65,18.524145
66,18.524145
67,18.52456
68,18.52456
69,18.52456
70,18.52456
71,19.693296
72,19.693296
73,19.693296
74,19.693296
75,19.693296
76,21.254177
77,21.254177
78,21.254177
79,21.254177
80,21.254177
81,22.442568
82,22.442568
83,22.442568
84,22.442568
85,22.442568
86,23.16819
87,23.16819
88,23.16819
89,23.16819
90,17.224192
91,17.224192
92,17.224192
93,17.224192
94,17.224192
95,20.132637
96,20.132637
97,20.132637
98,20.132637
99,20.132637
100,20.133053
101,20.133053
102,20.133053
103,20.133053
104,20.133053
105,21.648787
106,21.648787
107,21.648787
108,21.648787
109,23.558752
110,23.558752
111,23.558752
112,23.558752
113,24.055342
114,24.055342
115,24.055342
116,24.055342
117,25.192965
118,25.192965
119,25.192965
120,25.192965
121,19.067507
122,19.067507
123,19.067507
124,19.067507
125,21.994389
126,21.994389
127,21.994389
128,21.994389
129,21.994804
130,21.994804
131,21.994804
132,21.994804
133,23.891031
134,23.891031
135,23.891031
136,23.891031
137,25.841238
138,25.841238
139,25.841238
140,25.841238
141,27.366682
142,27.366682
143,27.366682
144,27.366682
145,28.556831
146,28.556831
147,28.556831
148,28.556831
149,22.923431
150,22.923431
151,22.923431
152,22.923431
153,26.598318
154,26.598318
155,26.598318
156,26.598318
157,26.598734
158,26.598734
159,26.598734
160,26.598734
161,28.859896
162,28.859896
163,28.859896
